analysis_stream,city,season,n_participants,participant_days,paired_n_if_city_level,campaign_window,source_device,common_support_rule,timestamp_rows_before_filter,timestamp_rows_complete_pm_triplet,timestamp_rows_hierarchy_valid,timestamp_rows_hierarchy_invalid,daily_rows_after_aggregation,target_participants,target_participant_days_if_applicable,status,notes
PPM personal PM common-support analysis,Milan,Summer,54,526,32,2019-06-11 to 2019-07-01,ICARUS PPM personal portable particulate monitor,Complete timestamp triplet and ordered hierarchy: PM1_PPM <= PM25_PPM <= PM10_PPM; invalid timestamp rows excluded before daily aggregation.,916278,745536,563137,182399,526,54,2427,PASS,HIA common-support daily PM input is derived from retained PPM timestamp rows only.
PPM personal PM common-support analysis,Milan,Winter,45,572,32,2019-01-09 to 2019-02-17,ICARUS PPM personal portable particulate monitor,Complete timestamp triplet and ordered hierarchy: PM1_PPM <= PM25_PPM <= PM10_PPM; invalid timestamp rows excluded before daily aggregation.,1286706,821911,588116,233795,572,45,2427,PASS,HIA common-support daily PM input is derived from retained PPM timestamp rows only.
PPM personal PM common-support analysis,Thessaloniki,Summer,51,709,34,2019-06-01 to 2019-07-29,ICARUS PPM personal portable particulate monitor,Complete timestamp triplet and ordered hierarchy: PM1_PPM <= PM25_PPM <= PM10_PPM; invalid timestamp rows excluded before daily aggregation.,1469209,1064761,641699,423062,709,51,2427,PASS,HIA common-support daily PM input is derived from retained PPM timestamp rows only.
PPM personal PM common-support analysis,Thessaloniki,Winter,57,620,34,2018-12-16 to 2019-01-24,ICARUS PPM personal portable particulate monitor,Complete timestamp triplet and ordered hierarchy: PM1_PPM <= PM25_PPM <= PM10_PPM; invalid timestamp rows excluded before daily aggregation.,1062891,860722,678051,182671,620,57,2427,PASS,HIA common-support daily PM input is derived from retained PPM timestamp rows only.
