outcome,predictor,beta,se,ci_low,ci_high,p_value,r_squared,adj_r_squared,n_rows,n_participants,predictor_unit,outcome_unit,wearable_field_indicator_flag,status,notes
SleepTotal,Humi_uHoo,4.885081850041719,1.7469670701171618,1.4409530564004918,8.329210643682947,0.00565561292173231,0.11236570707647164,0.09521335359002658,212,33,percent,minutes,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,OLS refit uses unstandardized selected predictors for interpretable coefficients.
SleepTotal,PM25_uHoo,-1.8983797991016755,0.6044251340402912,-3.089998143464064,-0.7067614547392869,0.0019313751560695166,0.11236570707647164,0.09521335359002658,212,33,ug/m3,minutes,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,OLS refit uses unstandardized selected predictors for interpretable coefficients.
SleepTotal,CO_uHoo,-391.53300162356936,156.45030790804736,-699.9732804686677,-83.09272277847106,0.013101932172765425,0.11236570707647164,0.09521335359002658,212,33,ppm,minutes,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,OLS refit uses unstandardized selected predictors for interpretable coefficients.
SleepTotal,O3_uHoo,-6.316206267159192,2.915860275112219,-12.064796783564924,-0.5676157507534594,0.0314420174363794,0.11236570707647164,0.09521335359002658,212,33,ppb,minutes,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,OLS refit uses unstandardized selected predictors for interpretable coefficients.
SleepLight,,,,,,,,,212,33,,fraction,wearable-derived field indicator; not clinical or polysomnography-equivalent,NO_SELECTED_PREDICTORS,No OLS refit because Lasso selected no predictors or fitting failed.
SleepDeep,,,,,,,,,212,33,,fraction,wearable-derived field indicator; not clinical or polysomnography-equivalent,NO_SELECTED_PREDICTORS,No OLS refit because Lasso selected no predictors or fitting failed.
SleepREM,,,,,,,,,212,33,,fraction,wearable-derived field indicator; not clinical or polysomnography-equivalent,NO_SELECTED_PREDICTORS,No OLS refit because Lasso selected no predictors or fitting failed.
