panel,direction,outcome,predictor,beta,se,ci_low,ci_high,p_value,r_squared_or_model_fit,n_rows,n_participants,city_or_season_adjustment,wearable_field_indicator_flag,status,notes
same-day stress -> SleepTotal,same-day stress -> sleep,SleepTotal,avg_daily_stress,-1.58458116103114,0.38974538807861614,-2.3494592632896274,-0.8197030587726526,5.1926308897109135e-05,0.017390068005883275,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
SleepTotal -> next-day stress,sleep -> next-day stress,next_day_avg_stress,SleepTotal,-0.007292348387043907,0.002568919001866144,-0.01233387023978434,-0.002250826534303474,0.004628218090477188,0.00855374492520855,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
same-day stress -> SleepLight,same-day stress -> sleep,SleepLight,avg_daily_stress,0.0012672034957303857,0.0003924472171538154,0.0004970230346528419,0.0020373839568079296,0.0012856674809321018,0.011039823859563369,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
SleepLight -> next-day stress,sleep -> next-day stress,next_day_avg_stress,SleepLight,9.617968654945582,2.5511428705632464,4.611332586597587,14.624604723293576,0.00017345716935219274,0.014989635658224754,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
same-day stress -> SleepDeep,same-day stress -> sleep,SleepDeep,avg_daily_stress,-4.646391418160897e-05,0.0005306198668267454,-0.0010878091851543236,0.0009948813567911058,0.9302409130939606,8.209451301754989e-06,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
SleepDeep -> next-day stress,sleep -> next-day stress,next_day_avg_stress,SleepDeep,-4.795164682849607,1.905255554801184,-8.534242290048436,-1.0560870756507774,0.012008803678026548,0.006736251447086672,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
same-day stress -> SleepREM,same-day stress -> sleep,SleepREM,avg_daily_stress,-0.00122073958154878,0.0003279243276961937,-0.0018642934121384605,-0.0005771857509590996,0.00020895544699019817,0.014620274454032245,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
SleepREM -> next-day stress,sleep -> next-day stress,next_day_avg_stress,SleepREM,-1.3536188658088677,3.0703594660337887,-7.379221203809074,4.671983472191339,0.6594116161648962,0.00020805449671756904,936,127,unadjusted figure plot-data regression; mixed-model output includes city and season fixed effects,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate plot-data only; final figure rendering is not performed in Phase 7.
