component,n_rows_used,n_participants,mean,sd,median,p25,p75,min,max,status,notes
PC1,3492930,141,-4.8203143683301225e-17,1.6482476804762318,-0.4454651051867855,-1.033278881375491,0.5300990101653789,-2.0684792920668627,9.81126138751971,PASS,Aggregate score distribution only; individual PCA scores are not exported.
PC2,3492930,141,-4.613636473401721e-18,0.4513464592979084,0.03167956562045752,-0.07982321051328592,0.10114363512237878,-4.682909369173865,6.5493300226306905,PASS,Aggregate score distribution only; individual PCA scores are not exported.
PC3,3492930,141,9.099116378097838e-17,0.28207590531982213,0.006731365279204285,-0.03795489673720838,0.04710239676954738,-3.677445120834022,3.9896755079495128,PASS,Aggregate score distribution only; individual PCA scores are not exported.
