scenario_key,city,season,pollutant,endpoint,framework,output_scale,counterfactual,crf_mapping,source_pollutant,cases_mean_primary,cases_median_primary,cases_p025_primary,cases_p975_primary,pm_mean_of_samples_primary,exposure_contrast_mean_primary,share_samples_above_counterfactual_primary,cases_mean_upper_tail_capped,cases_median_upper_tail_capped,cases_p025_upper_tail_capped,cases_p975_upper_tail_capped,pm_mean_of_samples_upper_tail_capped,exposure_contrast_mean_upper_tail_capped,share_samples_above_counterfactual_upper_tail_capped,upper_tail_cap_quantile,status,notes
Milan_Winter_PM10_Cardiovascular,Milan,Winter,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,1904.5115296016197,1882.4483187055996,971.5954441659808,2994.333450950281,43.60039649637075,28.60039649637075,1.0,1836.9653132091764,1818.033780288576,932.7097255775816,2882.72710286085,42.45909385208604,27.459093852086053,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM10_Chronic bronchitis,Milan,Winter,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,827.3692303788665,822.30051276192,346.3287958017279,1350.0486698869458,43.608287074677456,28.60828707467745,1.0,799.4435282826656,793.4140291293043,333.3683233093205,1308.3887182111357,42.457556733736574,27.45755673373658,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM10_Mortality all causes,Milan,Winter,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,6021.7663895704445,5938.373704240629,3534.5427083604613,8905.325149867776,43.6080888726888,28.608088872688803,1.0,5808.029670963699,5733.621275611107,3412.2726378559455,8584.060371199937,42.46665665084482,27.466656650844822,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM10_Respiratory hospital admissions,Milan,Winter,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,45.0,direct,PM10,0.7748376130472532,0.0,0.0,5.39205134947049,43.41756591432485,8.034327584944796,0.4265,0.6736281852515082,0.0,0.0,3.9450781456970256,42.33750714090305,6.95426881152299,0.4265,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM2.5_Cardiac hospital admissions,Milan,Winter,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,3.4224868252667418,2.8069404003674334,0.0,11.469306835046188,38.238792577882855,23.86528786495669,0.8767,3.2953938294484812,2.8063399442272208,0.0,10.05715804225535,37.29449391245671,22.92098919953055,0.8767,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM2.5_Cardiovascular,Milan,Winter,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,3203.974490868215,3181.27894245255,2383.68072573834,4135.320632234793,38.52969828894086,33.52969828894086,1.0,3129.560985220479,3108.4421828370955,2331.134301871096,4024.1203153906827,37.568148195959004,32.568148195959004,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM2.5_Chronic bronchitis,Milan,Winter,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,5.0,converted_from_pm10,PM10,1336.814567800448,1337.6249130034512,592.254287481388,2072.0345378040106,38.5557833612639,33.5557833612639,1.0,1309.1779887227403,1309.8985942411666,576.6095518673171,2033.4970952526412,37.58707545505367,32.58707545505367,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM2.5_Mortality all causes,Milan,Winter,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,5517.10325638398,5464.066962956838,3477.2557974061983,7869.533505818894,38.50176910152421,33.501769101524204,1.0,5374.715407030005,5320.301364414482,3391.15880660717,7657.915107144642,37.53972104685561,32.53972104685561,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Milan_Winter_PM2.5_Respiratory hospital admissions,Milan,Winter,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,3.5397194084203285,3.039384097390633,0.0,11.570248917306138,38.031338383785865,23.669481362419795,0.8719,3.4106506870400115,3.039384097390633,0.0,9.749185302949574,37.0998998893773,22.73804286801123,0.8719,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM10_Cardiac hospital admissions,Thessaloniki,Summer,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,45.0,direct,PM10,0.1456606970365773,0.0,0.0,1.9825393999194367,28.963594847829985,4.512095519997255,0.1187,0.025643209699330476,0.0,0.0,0.3366780119504516,25.214365586439857,0.7719568050273459,0.1134,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM10_Cardiovascular,Thessaloniki,Summer,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,300.9156271393936,288.6367318504332,116.54559441310808,556.2773335558517,28.959856523371727,13.95985652337173,1.0,223.22004043977074,215.67542529267075,86.2853584985932,402.1361819024593,25.182533044974658,10.182533044974658,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM10_Chronic bronchitis,Thessaloniki,Summer,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,107.89116842589232,103.49855819128518,36.25428726953862,205.26887794138088,28.983719671707554,13.983719671707547,1.0,80.72970808114307,77.34175277405123,27.716564013880216,153.918288894042,25.20794697001423,10.20794697001423,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM10_Mortality all causes,Thessaloniki,Summer,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,925.9301477165023,891.2962888307524,399.53342367044064,1617.9182402639265,28.935381064632896,13.935381064632896,1.0,689.1722957280398,668.896627292912,298.85566726770776,1183.8146479027487,25.20063405906064,10.200634059060636,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM10_Respiratory hospital admissions,Thessaloniki,Summer,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,45.0,direct,PM10,0.1195188322789679,0.0,0.0,1.683218269354202,29.05340250637182,4.549423730693615,0.1176,0.021316520432455067,0.0,0.0,0.2801034606681512,25.27763869459517,0.7859433756010777,0.1111,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
