city,season,pollutant,cap_quantile,cap_value_ug_m3,participant_days,values_above_cap,share_values_above_cap,mean_before_cap,mean_after_cap,median_before_cap,median_after_cap,max_before_cap,max_after_cap,absolute_mean_change,percent_mean_change,source_device,exposure_metric,status,notes
Milan,Summer,PM10,0.95,61.26175930419011,526,27,0.051330798479087454,26.14691287577547,25.417008830043354,22.198124209715147,22.198124209715147,103.51541235334713,61.26175930419011,-0.7299040457321162,-2.7915496150536225,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
Milan,Summer,PM2.5,0.95,52.65986546248934,526,27,0.051330798479087454,23.388897228595752,22.955488369012087,20.166514067521895,20.166514067521895,88.9397920997921,52.65986546248934,-0.4334088595836647,-1.8530538457955599,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
Milan,Winter,PM10,0.95,82.26349163960569,572,29,0.050699300699300696,40.51737128849427,39.77548868624862,38.01569051928107,38.01569051928107,130.0189251895429,82.26349163960569,-0.7418826022456457,-1.8310235305327383,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
Milan,Winter,PM2.5,0.95,74.61033976474346,572,29,0.050699300699300696,35.48420140748478,34.888125638804226,33.58350620204615,33.58350620204615,120.20135799750423,74.61033976474346,-0.5960757686805565,-1.679834250277997,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
Thessaloniki,Summer,PM10,0.95,52.0218751289148,709,36,0.05077574047954866,26.338248770665988,24.03899595206628,21.798071387449628,21.798071387449628,149.03974071103983,52.0218751289148,-2.299252818599708,-8.729710310734411,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
Thessaloniki,Summer,PM2.5,0.95,40.16437065537198,709,36,0.05077574047954866,21.91319773809916,19.855846917022003,19.163524976437323,19.163524976437323,148.16304731355254,40.16437065537198,-2.057350821077158,-9.38863805121498,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
Thessaloniki,Winter,PM10,0.95,75.32753605013957,620,31,0.05,38.65905665700921,37.70684147469555,32.62565573770492,32.62565573770492,129.52876984126985,75.32753605013957,-0.9522151823136582,-2.4631102376912595,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
Thessaloniki,Winter,PM2.5,0.95,69.3957721526159,620,31,0.05,34.88855370646483,34.02231673716619,29.562075068456554,29.562075068456554,114.90036086825302,69.3957721526159,-0.8662369692986402,-2.4828686697268476,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,PASS,Cap quantile and capped maximum validated.
