scenario_key,city,season,pollutant,endpoint,framework,output_scale,source_device,exposure_metric,counterfactual,counterfactual_basis,crf_mapping,source_pollutant,rr_per10,rr_ci_low,rr_ci_high,reference_note,n_samples,baseline_rate,baseline_rate_scale,population,pm_mean_of_samples,exposure_contrast_mean,share_samples_above_counterfactual,cases_mean,cases_median,cases_p025,cases_p975,pm25_pm10_ratio_mean_if_applicable,pm25_pm10_ratio_sd_if_applicable,notes
Milan_Winter_PM10_Cardiac hospital admissions,Milan,Winter,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.006,1.003,1.009,Hurley et al.,10000,4.290684931506849e-05,daily_rate_per_person,3606653,44.08545167056202,8.541987154570185,0.4331,0.7769089227967392,0.0,0.0,5.471783228160156,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM10_Cardiovascular,Milan,Winter,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.08,1.042,1.12,Orellano et al.,10000,0.002703,annual_rate_per_person,3606653,43.60039649637075,28.60039649637075,1.0,1904.5115296016195,1882.4483187055994,971.5954441659809,2994.333450950281,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM10_Chronic bronchitis,Milan,Winter,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.117,1.04,1.189,WHO/HRAPIE,10000,0.00086,annual_rate_per_person,3606653,43.608287074677456,28.60828707467745,1.0,827.3692303788665,822.30051276192,346.3287958017279,1350.0486698869458,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM10_Mortality all causes,Milan,Winter,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,Orellano et al.,10000,0.0084,annual_rate_per_person,3606653,43.6080888726888,28.608088872688803,1.0,6021.7663895704445,5938.373704240629,3534.5427083604613,8905.325149867776,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM10_Respiratory hospital admissions,Milan,Winter,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.009,1.007,1.01,Hurley et al.,10000,3.0276712328767118e-05,daily_rate_per_person,3606653,43.417565914324854,8.034327584944796,0.4265,0.7748376130472532,0.0,0.0,5.39205134947049,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM2.5_Cardiac hospital admissions,Milan,Winter,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.006,1.003,1.009,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,4.290684931506849e-05,daily_rate_per_person,3606653,38.238792577882855,23.865287864956695,0.8767,3.4224868252667418,2.8069404003674334,0.0,11.469306835046188,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM2.5_Cardiovascular,Milan,Winter,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.127,1.102,1.152,Orellano et al.,10000,0.002703,annual_rate_per_person,3606653,38.52969828894086,33.52969828894086,1.0,3203.974490868215,3181.27894245255,2383.6807257383393,4135.320632234793,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM2.5_Chronic bronchitis,Milan,Winter,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.117,1.04,1.189,WHO/HRAPIE PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,0.00086,annual_rate_per_person,3606653,38.5557833612639,33.5557833612639,1.0,1336.814567800448,1337.6249130034512,592.254287481388,2072.0345378040106,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM2.5_Mortality all causes,Milan,Winter,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,WHO/HRAPIE; Orellano et al.,10000,0.0084,annual_rate_per_person,3606653,38.501769101524204,33.501769101524204,1.0,5517.10325638398,5464.066962956838,3477.2557974061983,7869.533505818894,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Milan_Winter_PM2.5_Respiratory hospital admissions,Milan,Winter,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.009,1.007,1.01,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,3.0276712328767118e-05,daily_rate_per_person,3606653,38.031338383785865,23.669481362419795,0.8719,3.5397194084203285,3.039384097390633,0.0,11.570248917306138,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
