outcome,pollutant,lag_min,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,random_effect_structure,fixed_effects,aic,bic,log_likelihood,converged,warnings,status,notes
Garmin-derived average heart rate,PM2.5,10,unadjusted,0.016376305836724944,0.007488532828737362,0.0016987814923997147,0.031053830181050172,0.02875339975152852,0.16376305836724944,0.016987814923997147,0.31053830181050174,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,15,unadjusted,0.022027595578350427,0.007526208863898462,0.007276226205109442,0.036778964951591414,0.003424854968661487,0.22027595578350428,0.07276226205109441,0.36778964951591414,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,30,unadjusted,0.014059497853202665,0.007550423286396321,-0.0007393317881341233,0.028858327494539454,0.06259170900893286,0.14059497853202665,-0.007393317881341233,0.28858327494539454,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,45,unadjusted,0.018034393920929537,0.007497905814039331,0.0033384985254124484,0.03273028931644663,0.016161075450441955,0.18034393920929537,0.033384985254124484,0.32730289316446626,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,60,unadjusted,0.019038860883188062,0.00754531687414008,0.004250039809873506,0.03382768195650262,0.011626956570230745,0.19038860883188063,0.04250039809873506,0.3382768195650262,10000,125,participant-specific random intercept,lagged PM only,81634.62368016648,81663.46504165439,-40813.31184008324,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,120,unadjusted,0.006453148968481742,0.007577863246935928,-0.008399462995512676,0.021305760932476162,0.39444781659675576,0.06453148968481742,-0.08399462995512676,0.21305760932476162,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,1,unadjusted,0.021104110000588962,0.007246699578157572,0.006900578827400122,0.0353076411737778,0.003588497161013638,0.2110411000058896,0.06900578827400122,0.353076411737778,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,5,unadjusted,0.021957538459954046,0.007176534262541388,0.007891531305372925,0.03602354561453516,0.0022161069609727235,0.21957538459954046,0.07891531305372926,0.36023545614535163,10000,125,participant-specific random intercept,lagged PM only,81640.02964315498,81668.87100464289,-40816.01482157749,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,10,unadjusted,0.0239638599948051,0.00714902880652021,0.00995176353402549,0.037975956455584714,0.0008021723304384306,0.239638599948051,0.0995176353402549,0.37975956455584714,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,15,unadjusted,0.02427096692919281,0.007176732096637793,0.010204572019782737,0.03833736183860288,0.000719871970565045,0.2427096692919281,0.10204572019782737,0.3833736183860288,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,30,unadjusted,0.015628673042756128,0.0072302773762018754,0.0014573293854004514,0.029800016700111804,0.03065216425886342,0.15628673042756128,0.014573293854004514,0.29800016700111803,10000,125,participant-specific random intercept,lagged PM only,81646.69366380906,81675.53502529697,-40819.34683190453,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,45,unadjusted,0.016426973302895394,0.007160849386334429,0.002391708505679912,0.030462238100110874,0.02179062058146711,0.16426973302895392,0.023917085056799122,0.3046223810011087,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
