figure,outcome,pollutant,lag_min,source_device,sensor_outcome,beta,se,ci_low,ci_high,p_value,p_value_display,r_squared,n_observations,n_participants,effect_per_10ug,practical_effect_flag,status,notes
Figure 7,Garmin-derived average heart rate,PM2.5,60,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.004923903616706231,0.00047897213394608364,-0.005862672222575992,-0.00398513501083647,8.669880789391114e-25,p < 0.001,4.405975596904947e-05,2398489,126,-0.04923903616706231,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM2.5,120,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.00505531643293364,0.0005055145707359261,-0.0060461073229697865,-0.004064525542897494,1.5205196695180348e-23,p < 0.001,4.4841352744226664e-05,2230137,126,-0.0505531643293364,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,1,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.00926197540694373,0.00042411551285153937,-0.010093226919757375,-0.008430723894130087,1.0255334789699e-105,p < 0.001,0.0001812012319146119,2631476,126,-0.09261975406943732,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,5,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.009106064610123109,0.00042729614814167647,-0.009943550067797206,-0.008268579152449012,9.179464615000647e-101,p < 0.001,0.00017765101728345486,2555989,126,-0.09106064610123109,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,10,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.009209458942547903,0.00042908638221836716,-0.010050453198483598,-0.008368464686612207,3.529949844012391e-102,p < 0.001,0.00018122872264060861,2541402,126,-0.09209458942547903,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,15,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.009259104074412825,0.0004308733128574128,-0.01010360065400769,-0.00841460749481796,2.0086172820918266e-102,p < 0.001,0.00018270829545290364,2526978,126,-0.09259104074412826,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,30,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.009498497006647493,0.0004363316910182573,-0.010353691823061862,-0.008643302190233125,4.6713568231049346e-105,p < 0.001,0.00019073963852664767,2484007,126,-0.09498497006647494,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,45,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.009480123602900523,0.00044190012435814234,-0.01034623236083384,-0.008614014844967205,4.36703354226873e-102,p < 0.001,0.00018849470120637602,2441176,126,-0.09480123602900523,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,60,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.008812322767361694,0.0004476622627919321,-0.009689725122441062,-0.007934920412282326,2.9335298338832955e-86,p < 0.001,0.00016153710328261158,2398489,126,-0.08812322767361694,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
Figure 7,Garmin-derived average heart rate,PM10,120,ICARUS PPM personal monitor,Garmin wearable field indicator,-0.008857762890114715,0.00047354824094073786,-0.00978590089103066,-0.007929624889198768,4.562174423568396e-78,p < 0.001,0.00015686294422914866,2230137,126,-0.08857762890114715,negligible,PASS,OLS panel is descriptive/exploratory; Phase 6 mixed models are the primary clustered model.
