outcome,pollutant,lag_min,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,random_effect_structure,fixed_effects,aic,bic,log_likelihood,converged,warnings,status,notes
Garmin-derived average heart rate,PM2.5,15,adjusted,0.0103998408137509,0.006716711626776631,-0.0027649139747312965,0.023564595602233097,0.12153732273713833,0.103998408137509,-0.027649139747312965,0.23564595602233096,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80320.29217078946,80551.0230626927,-40128.14608539473,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,30,adjusted,0.00740218558283736,0.006733378591197032,-0.005795236455908823,0.020599607621583544,0.2716254143759811,0.0740218558283736,-0.05795236455908823,0.20599607621583543,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,45,adjusted,0.008594145865613105,0.006669560846584254,-0.004478193393692032,0.02166648512491824,0.19755023436322194,0.08594145865613105,-0.04478193393692032,0.21666485124918242,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,60,adjusted,0.007380492142793127,0.006781732460636886,-0.005911703480055168,0.02067268776564142,0.2764670697055275,0.07380492142793127,-0.05911703480055168,0.2067268776564142,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,120,adjusted,0.00021728702072360502,0.006756558713172311,-0.013025568057094124,0.013460142098541334,0.974344916240703,0.0021728702072360503,-0.13025568057094125,0.13460142098541333,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80353.80921630088,80584.54010820412,-40144.90460815044,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,1,adjusted,0.009559378092757715,0.006517633019783583,-0.0032151826260181076,0.02233393881153354,0.1424591133472568,0.09559378092757714,-0.03215182626018108,0.22333938811533538,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,5,adjusted,0.012163923933283147,0.0064865359487426355,-0.000549686526252419,0.024877534392818715,0.0607573337243258,0.12163923933283147,-0.00549686526252419,0.24877534392818715,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,10,adjusted,0.012640482656183028,0.006447401483319021,3.575748877746726e-06,0.02527738956348831,0.04993100246074777,0.12640482656183027,3.575748877746726e-05,0.25277389563488306,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,15,adjusted,0.012399416556520538,0.0064777562854418285,-0.000296985762945446,0.025095818875986522,0.055600610526473984,0.12399416556520537,-0.00296985762945446,0.2509581887598652,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,80319.02594886314,80549.75684076638,-40127.51297443157,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,30,adjusted,0.006550055677539654,0.006484924593545898,-0.006160396525810305,0.019260507880889614,0.312474468479053,0.06550055677539654,-0.06160396525810305,0.19260507880889616,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,45,adjusted,0.008855390551315071,0.006421204900558639,-0.00373017105377986,0.021440952156410002,0.16786839489474192,0.0885539055131507,-0.0373017105377986,0.21440952156410004,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,60,adjusted,0.008782311390510908,0.0065042463745264,-0.003966011503560837,0.021530634284582652,0.17693813548836201,0.08782311390510908,-0.03966011503560837,0.21530634284582653,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,120,adjusted,-0.00016826921757805342,0.006535934025685334,-0.012978699907921307,0.012642161472765201,0.9794605361487063,-0.0016826921757805342,-0.12978699907921307,0.126421614727652,10000,125,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,1,adjusted,0.01060739639857583,0.013523779744919499,-0.015899211901466388,0.037114004698618044,0.4328339114426303,0.1060739639857583,-0.15899211901466387,0.3711400469861804,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,5,adjusted,0.006696710132743191,0.013410556979603739,-0.019587981547280135,0.03298140181276652,0.6175250368575333,0.06696710132743192,-0.19587981547280137,0.3298140181276652,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,10,adjusted,0.017705865908334575,0.013023538030723215,-0.007820268631882926,0.04323200044855208,0.17397930451794463,0.17705865908334575,-0.07820268631882926,0.43232000448552077,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,88635.95244696033,88866.68333886357,-44285.97622348017,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,15,adjusted,0.009948480975034018,0.013219974860345863,-0.01596266975124387,0.03585963170131191,0.45172997239666723,0.09948480975034019,-0.15962669751243871,0.35859631701311906,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,30,adjusted,0.014342925229332101,0.013350725476081305,-0.011824496703787258,0.04051034716245146,0.28268016219992986,0.143429252293321,-0.11824496703787257,0.40510347162451454,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,45,adjusted,0.012066827218770905,0.013496154149771952,-0.014385634914782121,0.03851928935232393,0.3712717273131688,0.12066827218770905,-0.14385634914782122,0.3851928935232393,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,60,adjusted,0.01181233318702921,0.013191315809030251,-0.014042645798670081,0.0376673121727285,0.3705397188221192,0.11812333187029209,-0.1404264579867008,0.376673121727285,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,88626.00001167679,88856.73090358003,-44281.000005838396,True,Random effects covariance is singular,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,120,adjusted,-0.0071062564328110735,0.013165605492072758,-0.03291084319727368,0.018698330331651532,0.5893631209411856,-0.07106256432811073,-0.32910843197273676,0.1869833033165153,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,1,adjusted,-0.0023354537146144903,0.01034380747805441,-0.022609316371601133,0.017938408942372152,0.8213703628377264,-0.023354537146144903,-0.22609316371601132,0.17938408942372153,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
