Analysis/data stream,Milan summer n,Milan winter n,Milan paired n,Thessaloniki summer n,Thessaloniki winter n,Thessaloniki paired n,Participant-days/nights/rows,Primary denominator,Source file,Notes,target_match_status
PPM personal PM analysis,54,45,32,51,57,34,2431,Campaign-window participant-days with any non-missing personal PPM PM fraction,controlled harmonized dataset archive,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window.",PASS
PPM personal PM common-support analysis,54,45,32,51,57,34,2427,Campaign-window participant-days with complete ordered PM1/PM2.5/PM10 timestamp support,controlled harmonized dataset archive,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.,PASS
uHoo residential IAQ analysis,28,38,25,21,18,16,1710,Campaign-window participant-days with any non-missing residential uHoo IAQ variable,controlled harmonized dataset archive,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.,PASS
Garmin heart-rate/stress analysis,55,59,37,58,40,25,2488,Campaign-window participant-days with Garmin average heart-rate or stress support,controlled harmonized dataset archive,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.,PASS
Garmin sleep data availability,44,50,26,55,33,20,1090,"Participant-night sleep-stage availability for Total, Light, Deep, and REM sleep",controlled harmonized dataset archive,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.,PASS
Garmin sleep + residential IAQ complete-case model input,8,23,6,3,6,1,212,Participant-night complete cases for sleep outcomes plus residential uHoo IAQ predictors,controlled harmonized dataset archive,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.,PASS
HIA daily PM input,54,45,32,51,57,34,2427,Campaign-window daily personal PPM PM common-support input used for scenario HIA,controlled harmonized dataset archive,Matches the common-support daily personal PPM input used for scenario-based HIA.,PASS
