city,season,pollutant,endpoint,crf_mapping,source_pollutant,rr_per10,rr_ci_low,rr_ci_high,yll_mean,yll_median,yll_p025,yll_p975,status,notes
Milan,Summer,PM10,Mortality all causes,direct,PM10,1.081,1.052,1.11,4329.9754962934285,4206.86145873081,2033.8719816166374,7332.635182337516,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Milan,Summer,PM2.5,Mortality all causes,direct,PM2.5,1.062,1.04,1.083,5378.51447899339,5322.900591882898,3277.998979830676,7823.429859211064,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Milan,Winter,PM10,Mortality all causes,direct,PM10,1.081,1.052,1.11,10068.046576975601,9947.84986274031,6076.718815537473,14780.848947567107,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Milan,Winter,PM2.5,Mortality all causes,direct,PM2.5,1.062,1.04,1.083,9201.35027818005,9142.070020246916,5849.262640370494,12938.51500420336,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki,Summer,PM10,Mortality all causes,direct,PM10,1.081,1.052,1.11,6682.051528770206,6473.911305508087,2934.4471308302614,11689.032267982768,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki,Summer,PM2.5,Mortality all causes,direct,PM2.5,1.062,1.04,1.083,7074.432897881374,6919.183507021855,4076.7078021607135,10935.307402190443,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki,Winter,PM10,Mortality all causes,direct,PM10,1.081,1.052,1.11,10228.648619740889,10065.774676667294,6051.099512724845,15409.85082391405,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki,Winter,PM2.5,Mortality all causes,direct,PM2.5,1.062,1.04,1.083,10281.048584727672,10176.590907545866,6510.153250886146,14609.174436212015,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
