scenario_key,city,season,pollutant,endpoint,framework,source_device,exposure_metric,counterfactual,counterfactual_basis,crf_mapping,source_pollutant,rr_per10,rr_ci_low,rr_ci_high,n_samples,pm_mean_of_samples,exposure_contrast_mean,share_samples_above_counterfactual,attributable_deaths_mean,attributable_deaths_median,attributable_deaths_p025,attributable_deaths_p975,yll_mean,yll_median,yll_p025,yll_p975,pm25_pm10_ratio_mean_if_applicable,pm25_pm10_ratio_sd_if_applicable,status,notes
Milan_Summer_PM10_Mortality all causes,Milan,Summer,PM10,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,10000,26.541447020838778,11.54144702083878,1.0,134.3534519125716,130.37148018272012,63.18311955313308,227.8024049397991,4329.9754962934285,4206.86145873081,2033.8719816166374,7332.635182337516,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Milan_Summer_PM2.5_Mortality all causes,Milan,Summer,PM2.5,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,10000,23.701656465244817,18.701656465244817,1.0,166.88602113723132,165.22445396381494,101.33460242684919,243.5657017485034,5378.51447899339,5322.900591882898,3277.998979830676,7823.429859211064,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Milan_Winter_PM10_Mortality all causes,Milan,Winter,PM10,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,10000,43.66820001276806,28.668200012768065,1.0,312.43094779064893,308.480682628605,188.77601327740157,459.0212217083603,10068.046576975601,9947.84986274031,6076.718815537473,14780.848947567107,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Milan_Winter_PM2.5_Mortality all causes,Milan,Winter,PM2.5,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,10000,38.49445902104424,33.49445902104423,1.0,285.5096759388654,283.4154608401064,181.76080283130779,401.4762295770144,9201.35027818005,9142.070020246916,5849.262640370494,12938.51500420336,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki_Summer_PM10_Mortality all causes,Thessaloniki,Summer,PM10,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,10000,28.952877346912278,13.95287734691228,1.0,216.89061939986445,209.9065418797685,95.20765260125256,379.0312817895031,6682.051528770206,6473.911305508087,2934.4471308302614,11689.032267982768,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki_Summer_PM2.5_Mortality all causes,Thessaloniki,Summer,PM2.5,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,10000,24.116466692489944,19.116466692489944,1.0,229.63119970719555,224.66970332992406,132.52572744954725,354.47950824754537,7074.432897881374,6919.183507021855,4076.7078021607135,10935.307402190443,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki_Winter_PM10_Mortality all causes,Thessaloniki,Winter,PM10,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,10000,36.99237473560081,21.992374735600812,1.0,332.00125171552116,326.4904154128112,196.05631489119747,500.0375438056488,10228.648619740889,10065.774676667294,6051.099512724845,15409.85082391405,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
Thessaloniki_Winter_PM2.5_Mortality all causes,Thessaloniki,Winter,PM2.5,Mortality all causes,long_term,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,10000,33.54371240847302,28.543712408473016,1.0,333.72244338020863,330.2304913007968,210.98570269655673,473.6812337617601,10281.048584727672,10176.590907545866,6510.153250886146,14609.174436212015,,,PASS,"YLL is calculated for mortality/all-cause long-term only. Age-specific population counts were not available; this uses the legacy per-100,000 age-band reference-population approach."
